Thibaut Courtois ,GK,26,120000,Real Madrid CF,Belgium
Kiko Casilla,D,31,30000,Real Madrid CF,Spain
Andriy Lunin,GK,19,25000,Real Madrid CF,Ukraine
Sergio Ramos,D,32,200000,Real Madrid CF,Spain
Raphael Varane,D,25,140000,Real Madrid CF,France
Alvaro Odriozola,D ,22,45000,Real Madrid CF,Spain
Nacho Fernandez,D,28,70000,Real Madrid CF,Spain
Marcelo,D,30,150000,Real Madrid CF,Brazil
Daniel Carvajal,D,26,100000,Real Madrid CF,Spain
Casemiro,M,26,90000,Real Madrid CF,Brazil
Toni Kroos,M,28,200000,Real Madrid CF,Germany
Luka Modric,M,32,180000,Real Madrid CF,Croatia
Isco,M,26,120000,Real Madrid CF,Spain
Marco Asensio,F,22,90000,Real Madrid CF,Spain
Vinicius Junior,F,18,40000,Real Madrid CF,Brazil
Gareth Bale,F,30,350000,Real Madrid CF,Wales
Karim Benzema,F,31,150000,Real Madrid CF,France
Lucas Vasquez,F,27,60000,Real Madrid CF,Spain
Eden Hazard,F,28,400000,Real Madrid CF,Belgium
Luka Jovic,F,21,170000,Real Madrid CF,Serbia
Marc-Andre ter Stegen,GK,26,90000,FC Barcelona,Germany
Neto,GK,29,11400,FC Barcelona,Brazil
Gerard Pique,D,32,165000,FC Barcelona,Spain
Clement Lenglet,D,23,70000,FC Barcelona,France
Moussa Wague,D,20,20000,FC Barcelona,Senegal
Jordi Alba,D,30,100000,FC Barcelona,Spain
Junior Firpo,D,23,12172,FC Barcelona,Dominican Republic
Nelson Semedo,D,25,75000,FC Barcelona,Portugal
Sergio Busquets,M,31,180000,FC Barcelona,Spain
Ivan Rakitic,M,31,150000,FC Barcelona,Croatia
Arthur,M,23,60000,FC Barcelona,Brazil
Arturo Vidal,M,32,165000,FC Barcelona,Chile
Sergi Roberto,M,27,70000,FC Barcelona,Spain
Frenkie De Jong,M,22,184197,FC Barcelona,Netherlands
Ansu Fati,F,16,20000,FC Barcelona,Spain
Ousmane Dembele,F,22,220000,FC Barcelona,France
Lionel Messi,F,32,500000,FC Barcelona,Argentina
Luis Suarez,F,32,290000,FC Barcelona,Uruguay
Antoine Griezmann,F,28,294300,FC Barcelona,France
Jan Oblak,GK,26,400000,Atletico Madrid ,Slovenia
Diego Costa,F,30,300000,Atletico Madrid ,Spain
Koke,M,27,300000,Atletico Madrid ,Spain
Joao Felix,F,19,280000,Atletico Madrid ,Portugal
Saul Niguez,M,24,230000,Atletico Madrid ,Spain
Vitolo,F,29,200000,Atletico Madrid ,Spain
Alvaro Morato,F,26,190000,Atletico Madrid ,Spain
Thomas Lemar,F,23,120000,Atletico Madrid ,France
Sime Vrsaljko,D,27,99000,Atletico Madrid ,Croatia
Stefan Savic,D,28,86000,Atletico Madrid ,Serbia
Angel Correa,M,24,67000,Atletico Madrid ,Argentina
Thomas Partey,M,26,47000,Atletico Madrid ,Ghana
Marcos Llorente,M,24,21000,Atletico Madrid ,Spain
Nolito,F,32,130000,Sevilla FC,Spain
Ever Banega,M,31,125000,Sevilla FC,Argentina
Munir El Haddadi,F,24,95000,Sevilla FC,Morocco
Jesus Navas,F,33,75000,Sevilla FC,Spain
Franco Vazquez,M,30,73000,Sevilla FC,Argentina
